==================================================================
fastsimcoal started on 26/06/2025 at 16:00:21

TMRCAs per non-recombining segment
Locus	Segment_length	Data_Type	Time_(gen)	deme	Num_Mutations
362	1	data unknown	2367.92	0	0
363	1	data unknown	32890	0	0
364	1	data unknown	41407.9	0	0
365	1	data unknown	9272.6	0	0
366	1	data unknown	15245.7	0	0
367	1	data unknown	7345.37	0	0
368	1	data unknown	33311.8	0	0
369	1	data unknown	2004.18	0	0
370	1	data unknown	4836.41	0	0
371	1	data unknown	10082.3	0	0
372	1	data unknown	46076.2	0	0
373	1	data unknown	1777.38	0	0
374	1	data unknown	2024.23	0	0
375	1	data unknown	3245.03	0	0
376	1	data unknown	557.671	0	0
377	1	data unknown	2010.55	0	0
378	1	data unknown	2037.31	0	0
379	1	data unknown	15426.4	0	0
380	1	data unknown	18738.5	0	0
381	1	data unknown	882.492	0	0
382	1	data unknown	12016	0	0
383	1	data unknown	16809.2	0	0
384	1	data unknown	16604	0	0
385	1	data unknown	19439.7	0	0
386	1	data unknown	2037.44	0	0
387	1	data unknown	13820.2	0	0
388	1	data unknown	6976.11	0	0
389	1	data unknown	2373.14	0	0
390	1	data unknown	1314.43	0	0
391	1	data unknown	3964.71	0	0
392	1	data unknown	2000.25	0	0
393	1	data unknown	15660.3	0	0
394	1	data unknown	24.3378	0	0
395	1	data unknown	40319.3	0	0
396	1	data unknown	17974.5	0	0
397	1	data unknown	5909.79	0	0
398	1	data unknown	2018.09	0	0
399	1	data unknown	2035.82	0	0
400	1	data unknown	2312.11	0	0
401	1	data unknown	2002.14	0	0
402	1	data unknown	10548	0	0
403	1	data unknown	2040.1	0	0
404	1	data unknown	6726.06	0	0
405	1	data unknown	14968.5	0	0
406	1	data unknown	6670.29	0	0
407	1	data unknown	5970.67	0	0
408	1	data unknown	2019.79	0	0
409	1	data unknown	16062.5	0	0
410	1	data unknown	513.954	0	0
411	1	data unknown	3924.69	0	0
412	1	data unknown	20640.2	0	0
413	1	data unknown	2018.01	0	0
414	1	data unknown	20431.6	0	0
415	1	data unknown	19997.1	0	0
416	1	data unknown	2083.72	0	0
417	1	data unknown	3441.53	0	0
418	1	data unknown	9178.11	0	0
419	1	data unknown	2017.46	0	0
420	1	data unknown	2016.95	0	0
421	1	data unknown	3559.02	0	0
422	1	data unknown	4139.35	0	0
423	1	data unknown	1410.64	0	0
424	1	data unknown	21559.8	0	0
425	1	data unknown	2000.69	0	0
426	1	data unknown	2005.81	0	0
427	1	data unknown	20254.9	0	0
428	1	data unknown	2012.96	0	0
429	1	data unknown	3859.84	0	0
430	1	data unknown	2001.54	0	0
431	1	data unknown	1908.76	0	0
432	1	data unknown	31742.5	0	0
433	1	data unknown	2043.07	0	0
434	1	data unknown	1020.58	0	0
435	1	data unknown	386.734	0	0
436	1	data unknown	9044.71	0	0
437	1	data unknown	2022.64	0	0
438	1	data unknown	1610.72	0	0
439	1	data unknown	2047.75	0	0
440	1	data unknown	4050.27	0	0
441	1	data unknown	5170.46	0	0
442	1	data unknown	2836.78	0	0
443	1	data unknown	15762.8	0	0
444	1	data unknown	3330.94	0	0
445	1	data unknown	472.603	0	0
446	1	data unknown	15318.9	0	0
447	1	data unknown	2013.9	0	0
448	1	data unknown	2012.89	0	0
449	1	data unknown	338.669	0	0
450	1	data unknown	6898.79	0	0
451	1	data unknown	787.354	0	0
452	1	data unknown	2019.31	0	0
453	1	data unknown	4620.84	0	0
454	1	data unknown	2009.35	0	0
455	1	data unknown	8266.7	0	0
456	1	data unknown	5597.52	0	0
457	1	data unknown	1952.63	0	0
458	1	data unknown	3863.39	0	0
459	1	data unknown	4216.37	0	0
460	1	data unknown	222.168	0	0
461	1	data unknown	341.835	0	0
462	1	data unknown	22046.8	0	0
463	1	data unknown	2046.49	0	0
464	1	data unknown	5566.2	0	0
465	1	data unknown	11887.2	0	0
466	1	data unknown	2466.45	0	0
467	1	data unknown	16831.3	0	0
468	1	data unknown	12748.8	0	0
469	1	data unknown	8296.34	0	0
470	1	data unknown	2012.53	0	0
471	1	data unknown	2040.69	0	0
472	1	data unknown	6735.86	0	0
473	1	data unknown	1373.6	0	0
474	1	data unknown	12904.3	0	0
475	1	data unknown	8560.93	0	0
476	1	data unknown	10714.4	0	0
477	1	data unknown	19926	0	0
478	1	data unknown	2018.68	0	0
479	1	data unknown	10701.6	0	0
480	1	data unknown	1150.32	0	0
481	1	data unknown	10195.3	0	0
482	1	data unknown	6618.29	0	0
483	1	data unknown	6870.67	0	0
484	1	data unknown	16489.5	0	0
485	1	data unknown	3794.46	0	0
486	1	data unknown	13003.3	0	0
487	1	data unknown	5472.89	0	0
488	1	data unknown	2002.02	0	0
489	1	data unknown	1585.81	0	0
490	1	data unknown	1520.96	0	0
491	1	data unknown	18360.4	0	0
492	1	data unknown	5709.97	0	0
493	1	data unknown	14910.8	0	0
494	1	data unknown	9449.83	0	0
495	1	data unknown	3347.84	0	0
496	1	data unknown	5782.68	0	0
497	1	data unknown	19605.9	0	0
498	1	data unknown	7091.43	0	0
499	1	data unknown	4321.23	0	0
500	1	data unknown	7610.34	0	0
501	1	data unknown	2014.68	0	0
502	1	data unknown	3429.01	0	0
503	1	data unknown	6920.8	0	0
504	1	data unknown	29389.6	0	0
505	1	data unknown	2014.18	0	0
506	1	data unknown	6370.53	0	0
507	1	data unknown	10943	0	0
508	1	data unknown	15081.7	0	0
509	1	data unknown	1509.32	0	0
510	1	data unknown	298.653	0	0
511	1	data unknown	8610.78	0	0
512	1	data unknown	2703.65	0	0
513	1	data unknown	9933.95	0	0
514	1	data unknown	2017.19	0	0
515	1	data unknown	7067.81	0	0
516	1	data unknown	5899.18	0	0
517	1	data unknown	3493.52	0	0
518	1	data unknown	2002.2	0	0
519	1	data unknown	4689.77	0	0
520	1	data unknown	8142.87	0	0
521	1	data unknown	9183.87	0	0
522	1	data unknown	25845.2	0	0
523	1	data unknown	2033.03	0	0
524	1	data unknown	1862.79	0	0
525	1	data unknown	1349.87	0	0
526	1	data unknown	1257.51	0	0
527	1	data unknown	2222.81	0	0
528	1	data unknown	190.353	0	0
