N1,N2,T_split,MigRate,Fst,dxy,segsites1,segsites2,pi1,pi2,tajima1,tajima2
150000,5000,11914,0,0.2426231589459923,0.0997311199999985,0.4024,0.0958,0.0972972244897936,0.024274693877550994,0.3043070818073923,0.49340847138886273
150000,5000,8941,0,0.12087422539422776,0.09799255999999891,0.3809,0.1782,0.09544734693877333,0.05826800000000069,0.4485976760193491,1.7009609984828022
150000,5000,10015,0,0.1578596606099717,0.10811615999999806,0.418,0.1685,0.10429183673469142,0.05297934693877638,0.43087413019087367,1.494785178248411
150000,5000,10004,0,0.15598198654532036,0.09988207999999826,0.3844,0.1361,0.09601420408163022,0.04983975510204058,0.4353558300944267,2.3427778032864808
150000,5000,7803,0,0.11591645149708218,0.10019279999999808,0.4055,0.1766,0.09739444897958885,0.061360816326530815,0.27790191277654036,2.03669502441683
150000,5000,9108,0,0.15670515673074337,0.10250903999999837,0.3756,0.1246,0.09778514285714099,0.05168310204081661,0.6087944711542693,3.1384932586136194
150000,5000,7839,0,0.13367233023093017,0.10215551999999861,0.3872,0.1681,0.09929934693877297,0.05683069387755147,0.5449759567515904,1.8827104346382213
150000,5000,9302,0,0.11650621267930283,0.09921759999999842,0.3946,0.1421,0.09696702040816108,0.06005518367346887,0.3690198684157431,3.2678967222958066
150000,5000,7393,0,0.24838804077131849,0.09923503999999855,0.3888,0.1065,0.09655191836734457,0.022940163265305905,0.4116626630223309,-0.12862558984824882
150000,5000,5424,0,0.09862698621439203,0.09862999999999814,0.4209,0.1487,0.09797673469387445,0.06386604081632759,0.1563617662633123,3.380836595966274
150000,5000,10435,0,0.2743204039013749,0.09654871999999884,0.3773,0.0949,0.0929960816326508,0.016965959183672673,0.381199202180106,-0.7281954394616362
150000,5000,10752,0,0.15962057847024103,0.09990655999999827,0.402,0.0995,0.09826595918367091,0.04653902040816256,0.3478125888709212,4.003298935798725
150000,5000,5561,0,0.23900712552013503,0.09635703999999834,0.3905,0.1042,0.09672546938775303,0.021638693877550862,0.4012136848557682,-0.255306344851485
150000,5000,7791,0,0.190096042333874,0.10554047999999877,0.3972,0.1116,0.09990995918367113,0.04373836734693908,0.4642385680152738,2.762901586200526
150000,5000,10920,0,0.19664501170917448,0.10096543999999896,0.3671,0.132,0.0966946122448958,0.03886955102040841,0.6589664745843895,1.1670354626778556
150000,5000,6505,0,0.23401371926126102,0.10265399999999858,0.417,0.0946,0.1009366530612214,0.026503673469388013,0.3086167164038775,0.9317801674611368
150000,5000,8005,0,0.10168795129182528,0.09605287999999854,0.3923,0.1472,0.09602669387754857,0.06061559183673543,0.3533216715725167,3.0905348786902547
150000,5000,6430,0,0.2695164522847875,0.10237871999999866,0.4006,0.1317,0.09907599999999721,0.01874204081632589,0.3950263455502875,-1.326531619533922
150000,5000,7340,0,0.28236294649736027,0.10033607999999816,0.4267,0.1046,0.10038897959183367,0.011911346938775505,0.19722472292605153,-1.7913668129447955
150000,5000,9608,0,0.1472557687416166,0.10114583999999882,0.4039,0.1128,0.09893216326530344,0.05142930612244889,0.35601379394176885,3.8115981946520554
150000,5000,10232,0,0.2073830994099648,0.09448495999999881,0.3589,0.1036,0.09069926530612067,0.033354775510204555,0.48354874646531804,1.6164830288471772
150000,5000,10488,0,0.31787790030143526,0.09679191999999921,0.3814,0.0197,0.09595591836734446,0.004241387755102032,0.46509328074179024,-0.12859677564907435
150000,5000,9413,0,0.2175859485631665,0.09215783999999899,0.3711,0.1016,0.09326718367346726,0.02517306122449027,0.4607756223295537,0.4014204798716326
150000,5000,9929,0,0.16565637805338296,0.09701687999999818,0.4061,0.1162,0.09745502040816056,0.04142881632653073,0.27452550090204625,2.183423438982757
150000,5000,7460,0,0.11336684077700698,0.09786807999999864,0.386,0.1696,0.09434448979591631,0.061530612244897816,0.3473593619507049,2.2881026676178706
150000,5000,7025,0,0.1280561226304524,0.10133287999999856,0.3949,0.177,0.09822587755101793,0.058426938775510064,0.4182823211290138,1.7520170719736237
150000,5000,7214,0,0.1006484213561828,0.09975207999999863,0.3856,0.1441,0.09849387755101863,0.06452310204081636,0.5281535408550806,3.6800791021678023
150000,5000,5562,0,0.09068878590235774,0.09594839999999868,0.3825,0.1825,0.0943444897959159,0.06564057142857105,0.3840669373909793,2.2371773892129068
150000,5000,7952,0,0.14005126028777481,0.10213135999999817,0.3971,0.1604,0.10126555102040599,0.05281126530612355,0.521313799012888,1.7377780777883847
150000,5000,5730,0,0.16311616666441253,0.09259783999999868,0.3871,0.0975,0.08875722448979362,0.04449453061224532,0.0990396853504183,3.8167852089557326
150000,5000,6559,0,0.24109713861414372,0.09768391999999806,0.4101,0.0916,0.09961616326530362,0.019846857142856982,0.3226096463896676,-0.10780230362111483
150000,5000,8539,0,0.11185564806951609,0.09992575999999917,0.3894,0.1545,0.0953695510204059,0.06427077551020424,0.3555416422071959,3.1597303920105038
150000,5000,12386,0,0.19657868069919038,0.09969807999999865,0.3685,0.0991,0.09413910204081427,0.03974187755102074,0.5287157061177143,2.911029299266795
150000,5000,5397,0,0.09320001299890301,0.10361047999999892,0.4168,0.1719,0.10154016326530332,0.07034783673469433,0.3342920859180277,3.0496300089296255
150000,5000,8790,0,0.20950764993238413,0.10420423999999798,0.3816,0.1633,0.09800244897959003,0.0382061224489796,0.5509590175943512,0.17558024336436018
150000,5000,9059,0,0.1948919274539932,0.09690927999999806,0.3982,0.0816,0.09595812244897706,0.034635183673469405,0.2909659668513213,3.2922910342839167
150000,5000,8176,0,0.14954175446695606,0.10412783999999806,0.4203,0.1028,0.1024962448979561,0.05157624489795841,0.33833336098965305,4.560287670665049
150000,5000,10808,0,0.25903194204847113,0.09926879999999846,0.3846,0.1164,0.09515436734693619,0.021689387755102048,0.3965270282059244,-0.6048338414426573
150000,5000,9498,0,0.17836280208686106,0.10363183999999849,0.4221,0.1025,0.10411559183673184,0.04040318367346958,0.38424010504811545,2.7991514841606433
150000,5000,7901,0,0.228723643462025,0.0999228799999986,0.4097,0.0556,0.09938726530612021,0.026056979591836928,0.3173312548985871,4.0082122982541835
150000,5000,6062,0,0.1959081147307603,0.10437327999999778,0.4153,0.2019,0.10045183673469162,0.03990293877551048,0.30571750157489613,-0.4201635067911043
150000,5000,6286,0,0.12797916385242325,0.10167503999999852,0.4184,0.1935,0.10019836734693595,0.05700800000000032,0.26635630977721464,1.1703772989654844
150000,5000,10106,0,0.34393956894855704,0.10257999999999827,0.4005,0.0001,0.10014734693877284,4e-06,0.4399501138092787,-1.1027964465679785
150000,5000,11330,0,0.1606078876333732,0.09819447999999914,0.3735,0.0959,0.09376081632652868,0.048274530612245105,0.45596386147014295,4.5866013973926965
150000,5000,7566,0,0.07726031131030942,0.10536031999999869,0.4157,0.2026,0.10403044897958923,0.07646473469387724,0.44321113403708956,2.528587240320762
150000,5000,8868,0,0.16384742411991993,0.09379135999999838,0.3852,0.1315,0.09283795918367094,0.0419286530612241,0.29149379303782585,1.5666081522794246
150000,5000,9858,0,0.10577326244882546,0.0938829599999985,0.385,0.1557,0.09218808163265085,0.059656163265305984,0.2658414494385212,2.6213320329703316
150000,5000,10743,0,0.3527905552194788,0.10158799999999861,0.3842,0.0005,0.09713151020407922,7.306122448979592e-05,0.48522498338840186,-0.8372542537253683
150000,5000,9488,0,0.13918384949401574,0.10859567999999792,0.428,0.1165,0.10706277551020166,0.057056326530612475,0.44146461479068627,4.366013575060087
150000,5000,9178,0,0.13933953513742048,0.10264919999999875,0.3958,0.1205,0.0992484897959161,0.05583453061224521,0.4514090575757899,3.9339203760242363
